Case,ICD10,System,History - CC,Histoy - HPI,History - ROS,History - MEDS,Objective - VITALS,Objctive - GEN,Objective - PE,Objective - DL,Objective - DI,Assessment - Dx,Assessment - DDx,Plan - Tx,Plan - Consult,Plan - Interventions,Foundation
anterior cruciate ligament tear ,S83.512A,MSK,"painful, right, knee",direct blow,"swollen, tender, large effusion","ibuprofen, hydrochlorothiazide","blood pressure, heart rate, respiratory rate, oxygen saturation",,"inability, dorsiflexion, right ankle, hallux, common peroneal nerve, tibialis anterior muscle, lachman, positive external recurvatum","crystals, cell count, diff, gram stain with culture, sensitivity","radiography, magnetic resonance imaging, rupture, weighted coronal, weighted sagittal",anterior cruciate ligament tear,posterolateral corner tear,"leg elevation, crutches, splint, ice joint, acetaminophen",orthopedic surgeon,"rehabilitation, arthroscopic meniscectomy, reconstruction",
acute gout of knee,M10.9,MSK,"painful, right, knee","seafood, alcohol","swollen, tender, large effusion",hydrochlorothiazide,"blood pressure, heart rate, respiratory rate, oxygen saturation",,"inability, dorsiflexion, right ankle, hallux, common peroneal nerve, tibialis anterior muscle, lachman, positive external recurvatum","crystals, cell count, diff, gram stain with culture, sensitivity","radiography, magnetic resonance imaging, rupture, weighted coronal, weighted sagittal",acute gout,,"activity as tolerated, restrict seafood, restrict alcohol, prednisone",primary care provider,,
right medial meniscal tear,S83.241A,MSK,"painful, right, knee",forceful twist,"swollen, tender, large effusion","ibuprofen, hydrochlorothiazide","blood pressure, heart rate, respiratory rate, oxygen saturation",,"inability, dorsiflexion, right ankle, hallux, common peroneal nerve, tibialis anterior muscle, lachman, positive external recurvatum","crystals, cell count, diff, gram stain with culture, sensitivity","radiography, magnetic resonance imaging, rupture, weighted coronal, weighted sagittal",right medial meniscal tear,,"leg elevation, crutches, splint, ice joint, acetaminophen",primary care provider,,
septic knee,M00.861,MSK,"painful, right, knee",joint infection,"swollen, tender, large effusion","ibuprofen, hydrochlorothiazide, steroid injection, metformin","blood pressure, heart rate, respiratory rate, oxygen saturation",,"inability, dorsiflexion, right ankle, hallux, common peroneal nerve, tibialis anterior muscle, lachman, positive external recurvatum","crystals, cell count, diff, gram stain with culture, sensitivity","radiography, magnetic resonance imaging, rupture, weighted coronal, weighted sagittal",septic knee,,"bed rest, morphine, dvt prophylaxis, vancomycin","orthopedic surgeon, hospitalist",surgical debridement,staphylococcus aureus
cerebral infarction aca < 3 hrs,I63.43,Neuro,stroke alert,"last known well time, two hours, incontinence",negative,"lisinopril, metformin, rosuvastatin","blood pressure, heart rate, respiratory rate, oxygen saturation","severe sensory loss, no movement, drift",stoke severity moderate,"cbc with diff, mri","non contrast, ct, wnl, angiogram, no occlusion, internal carotid",cerebral infarction aca,,"asa, insulin sliding scale, seizure precautions, dvt prophylaxis","intensivist, neurologist",iv tpa,"acute, ischemic stroke, aca, symptoms"
cerebral infarction pca < 4 hrs,I63.30,Neruo,stroke alert,"last known well time, two hours, incontinence",negative,"lisinopril, metformin, rosuvastatin","blood pressure, heart rate, respiratory rate, oxygen saturation","complete hemianopsia, severe aphasia",stroke severity moderate,"cbc with diff, mri","non contrast, ct, wnl, angiogram, no occlusion, internal carotid",cerebral infarction pca,,"asa, insulin sliding scale, seizure precautions, dvt prophylaxis","intensivist, neurologist",iv tpa,"acute, ischemic stroke, pca"
cerebral infarction mca < 24 hrs,I63.40,Neuro,stroke alert,"last known well time, two hours, incontinence",negative,"lisinopril, metformin, rosuvastatin","blood pressure, heart rate, respiratory rate, oxygen saturation","complete hemianopsia, no movement, drift, severe loss, ",stoke severity moderate,"cbc with diff, mri","non contrast, ct, wnl, angiogram, no occlusion, internal carotid",cerebral infarction mca,,"asa, insulin sliding scale, seizure precautions, dvt prophylaxis","intensivist, neurologist",ir embolectomy,mca large vessel occlusion
acute viral myocarditis,I51.4,Cardiopulm,chest pain,"dull, physical activity, two weeks, cold","palpitations, wheezing, dyspnea, orthopnea, lower extremity edema ",lisinopril ,"blood pressure, heart rate, respiratory rate, oxygen saturation","fatigued, weight gain","no carotid bruit, jvd present, pmi displaced laterally, regular rate, pedal edema, calf non tender","elevated troponin, bnp","ekg, xray, ap chest, 2d echo, sinus tachycardia, left axis, pvc, rbbb, cardiomegaly, pulmonary edema","myocarditis dilated cardiomyopathy, nyha two",,"strict I/O, dvt prophylaxis, daily weight, oral fluid restriction","cardiologist, hospitalist","furosemide, prednisone, low sodium, nasal cannula",
fam. hypertrophic cardiomyopathy,I42.2,Cardiopulm,chest pain,"two months, short of breath, physical activity","wheezing, dyspnea, orthopnea, lower extremity edema",,"blood pressure, heart rate, respiratory rate, oxygen saturation","fatigued, weight gain","no carotid bruit, jvd present, pmi displaced laterally, regular rate, pedal edema, calf non tender,murmur, rales","elevated troponin, bnp","ekg, xray, ap chest, 2d echo, aortic stenosis, reduced, cavity size, ejection fraction, sinus rhythm, normal axis, lvh, inferior lateral,st wave, cardiomegaly, pulmonary edema","concentric left ventricular hypertrophy, nyha two",,"strict I/O, dvt prophylaxis, daily weight, oral fluid restriction","cardiologist, hospitalist","furosemide, aspirin, hydralazine, low sodium, nasal cannula",
ischemic cardiomyopathy,I25.2,Cardiopulm,chest pain,"six months, short of breath, physical activity","wheezing, dyspnea, orthopnea, lower extremity edema","atorvastatin, clopidogrel, dapagliflozin, furosemide, lisinopril, metoprolol succinate, warfarin","blood pressure, heart rate, respiratory rate, oxygen saturation","fatigued, weight gain","no carotid bruit, jvd present, pmi displaced laterally, regular rate, pedal edema, calf non tender,murmur, rales, split s two, no chest wall tenderness","elevated troponin, bnp","ekg, xray, ap chest, 2d echo, sinus tachycardia, left axis, pvc, rbbb, cardiomegaly, pulmonary edema","ischemic cardiomyopathy, nyha four",,"strict I/O, dvt prophylaxis, daily weight, oral fluid restriction","cardiologist, intensivist","levophed, bipap",
