Flare,Model,TNR,TPR,TSS,HSS,Notes,Link,,
>C,Hybrid,0.8972,0.5351,0.4323,0.4293,,https://iopscience.iop.org/article/10.3847/1538-4357/aaa23c,,
,Random Forest,0.9375,0.3697,0.3072,0.3542,,,,
,Fuzzy C-Means,0.9082,0.5056,0.4139,0.4245,,,,
,K-Means,0.9128,0.499,0.4118,0.4272,,,,
,LASSO,0.9682,0.3089,0.2771,0.3517,,,,
,l1-logit,0.9516,0.3815,0.3331,0.3937,,,,
,Multilayer Perceptron,0.9452,0.4062,0.3514,0.4051,,,,
,SVM,0.9439,0.4131,0.357,0.409,,,,
>M,Hybrid,0.9248,0.5346,0.4594,0.2733,,,,
,Random Forest,0.9799,0.1758,0.1558,0.1842,,,,
,Fuzzy C-Means,0.8931,0.612,0.5051,0.2406,,,,
,K-Means,0.9085,0.5744,0.483,0.2548,,,,
,LASSO,0.9965,0.1255,0.122,0.1977,,,,
,l1-logit,0.9962,0.1254,0.1216,0.1944,,,,
,Multilayer Perceptron,0.9911,0.1618,0.1529,0.2172,,,,
,SVM,0.9933,0.1547,0.1481,0.2199,,,,
,,,,,,,,,
>M,LSTM-2015,0.9377,0.6849,0.6225,0.3904,,https://iopscience.iop.org/article/10.3847/1538-4357/ab89ac,,
,LSTM-15_18,0.9508,0.73,0.6808,0.3783,,,,
>C,LSTM-2015,0.9158,0.6429,0.5586,0.5677,,,,
,LSTM-15_18,0.9318,0.6213,0.5531,0.5571,,,,
,,,,,,,,,
,DNN,0.9646,0.7059,0.6704,0.52,,https://iopscience.iop.org/article/10.3847/1538-4365/ac249e,,
,CNN,0.9782,0.4062,0.3843,0.3923,,,,
,Bi-LSTM,0.9782,0.4062,0.3843,0.3923,,,,
,Fusion Model,0.9912,0.4818,0.473,0.5517,,,,
,,,,,,,,,
,Pure CNN,0.9378,0.6497,0.5875,0.2238,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2021SW002985,,
,Fusion Model 1,0.9507,0.6131,0.5639,0.2524,,,,
,Fusion Model 2,0.965,0.7299,0.6949,0.3699,,,,
,,,,,,,,,
>M 10-15,DeFN,0.8555,0.9467,0.8024,0.2625,,https://link.springer.com/article/10.1186/s40623-021-01381-9,,
>C 10-15,DeFN,0.8246,0.8092,0.6338,0.5281,,,,
>M Jan 19- Jun 20,DeFN >50%,0.9874,0.25,0.2374,0.0576,,,,
,DeFN >45%,0.986,0.25,0.2361,0.0525,,,,
,DeFN >40%,0.9847,0.5,0.4847,0.0971,,,Note: not binary,
>C Jan 19 - Jun 20,DeFN >50%,0.9912,0.7105,0.7023,0.644,,,,
,DeFN >45%,0.9877,0.7895,0.7772,0.6239,,,,
,DeFN >40%,0.9845,0.8421,0.8266,0.6069,,,Note: not binary,
,,,,,,,,,
>M,DeFN,0.8555,0.9469,0.8024,0.2625,,https://iopscience.iop.org/article/10.3847/1538-4357/aab9a7/meta,,
<C,DeFN,0.8246,0.8092,0.6338,0.5281,,,,
,,,,,,,,,
,,0.8182,0.6851,0.5033,0.3786,,https://link.springer.com/chapter/10.1007/978-3-031-45275-8_38,,
,,,,,,,,,
F/NF,"20 SHARP Params, 48hr",0.6534,0.6073,0.2607,0.2605,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019SW002214,,
,,,,,,,,,
>M,,0.8829,0.3861,0.269,0.2454,,https://arxiv.org/abs/1606.01587,,
>C,,0.5727,0.7225,0.2953,0.2973,,,,
,,,,,,,,,
Seed 1000,CNN-only,0.9356,0.8043,0.7399,0.1483,,https://iopscience.iop.org/article/10.3847/1538-4365/ac5b0c/meta,,
,CNN+ERT,0.9632,0.7935,0.7566,0.2341,,,,
,,,,,,,,,
Level 0,Logistic Regression,0.8323,0.8254,0.6577,0.6066,,https://www.researchgate.net/profile/Yuan-Yuan-2/publication/241893294_Automated_Flare_Forecasting_Using_Statistical_and_Machine_Learning_Techniques/links/5dbe9a48299bf1a47b0f370b/Automated-Flare-Forecasting-Using-Statistical-and-Machine-Learning-Techniques.pdf,,
,SVM-based,0.9042,0.7302,0.6344,0.6375,,,,40
,Proposed Method,0.9162,0.7143,0.6305,0.6432,,,,
Level 1,Logistic Regression,0.9576,0.2615,0.2191,0.2709,,,,
,SVM-based,0.903,0.1846,0.0876,0.1059,,,,
,Proposed Method,0.9515,0.1385,0.09,0.1159,,,,
Level 2,Logistic Regression,0.9877,0.1471,0.1347,0.177,,,,
,SVM-based,0.9136,0.1324,0.0459,0.0568,,,,
,Proposed Method,0.8333,0.2206,0.0539,0.0606,,,,
Level 3,Logistic Regression,1,0.0294,0.0294,0.0491,,,,
,SVM-based,0.9388,0.2059,0.1447,0.1769,,,,
,Proposed Method,0.9541,0.2059,0.16,0.2048,,,,
,,,,,,,,https://par.nsf.gov/servlets/purl/10402087,
,AlexNet,0.7921,0.7414,0.5335,0.3759,,https://ieeexplore.ieee.org/abstract/document/10459822,,
,VGG16,0.7842,0.719,0.5032,0.3519,,,,
,ResNet34,0.7859,0.7249,0.5108,0.357,,,,
,,,,,,,,,
,Deep model,0.79,0.6403,0.4303,0.2872,,https://ieeexplore.ieee.org/document/8305095,,
,Traditional model,0.7691,0.6036,0.3726,0.2408,,,,
,,,,,,,,,
,10% Threshold,0.8215,0.7012,0.5227,0.1669,Highest TSS,https://iopscience.iop.org/article/10.1088/2041-8205/747/2/L41/meta,,
,40% Threshold,0.9604,0.3556,0.316,0.2644,Highest HSS,,,
,,,,,,,,,
,Logistic Regression,0.9855,0.8446,0.8301,0.8618,No class imbalance remedy,https://www.aanda.org/articles/aa/abs/2020/07/aa37426-19/aa37426-19.html,,
,Logistic Regression,0.9645,0.9171,0.8816,0.8633,Class imbalance remedied,,,
,Multilayer Perceptron,0.929,0.9845,0.9135,0.8315,Class imbalance remedied,,,
,,,,,,,,,
,48hr + >C,0.84,0.67,0.505,0.467,Highest HSS,https://iopscience.iop.org/article/10.3847/1538-4357/aaae00/pdf,Note: only contains TP and FP,
,48hr + >X,0.82,0.97,0.791,0.042,Highest TSS,,,
,,,,,,,,,
,,,,,,,,Note: only contains rates. Would require reconstruction of tables,
,STCNet,0.9024,0.9227,0.8251,0.212,,https://www.sciengine.com/SSPMA/doi/10.1360/SSPMA-2024-0192;JSESSIONID=a0fcd0d5-17d6-4176-8886-9b33d0c915d9,,
,RestNet50 + CNN,0.8227,0.933,0.7557,0.1201,,,,
,SwinT,0.8226,0.9235,0.7461,0.1196,,,,
,ResNet,0.8399,0.8878,0.7277,0.1276,,,,
,,,,,,,,,
,Flatwrm2,0.9413,0.1813,0.1226,0.0233,,https://arxiv.org/abs/2407.21240,,
,Stellar,0.9985,0.6526,0.6511,0.6805,,,,
,,,,,,,,,
,,,,,,,,has rates. May require reconstruction,
,LSTM,0.9919,0.7483,0.7402,0.5943,,https://iopscience.iop.org/article/10.1088/1674-4527/acca01,,
,CNN (1),0.8089,0.776,0.5849,0.5839,,,,
,CNN (2),0.8111,0.8102,0.6213,0.2058,,,,
,,,,,,,,,
,2013,0.8319,0.8846,0.72,,,https://iopscience.iop.org/article/10.3847/1538-4357/ac99dc,,
,2014,0.7737,0.9204,0.69,,,,,
,,,,,,,,,
,Decision Tree,0.882,0.716,0.598,0.316,,https://onlinelibrary.wiley.com/doi/10.1155/2019/5190353,,
,CNN,0.81,0.85,0.66,0.143,,,,
,,,,,,,,,
>C varying,LightGBM,0.9604,0.5566,0.5317,0.5173,,https://arxiv.org/pdf/2310.19332,,
>C 24h,LightGBM,0.8802,0.6651,0.5643,0.4417,,,,
>M 24h,LightGBM,0.991,0.5285,0.516,0.4601,,,,
,,,,,,,,,
>M1,Window A,0.8949,0.75,0.6449,0.3676,,https://www.frontiersin.org/journals/astronomy-and-space-sciences/articles/10.3389/fspas.2022.1039805/full,,
,Window B,0.9107,0.8889,0.7996,0.3491,,,,
,,,,,,,,,
,,0.896,0.9226,0.8186,,,https://www.swsc-journal.org/articles/swsc/abs/2021/01/swsc210024/swsc210024.html,What does sometimes mean?,
,,,,,,,,,
,,0.9063,0.9004,0.8067,0.806,,https://iopscience.iop.org/article/10.3847/1538-4357/ab46bd/meta,9 other matrices possibly,
,,,,,,,,,
,,0.8809,0.9539,0.8347,0.8286,,https://iopscience.iop.org/article/10.3847/1538-4357/ac2b2b/meta,,
,,,,,,,,,
>M,k-NN,0.9977,0.9088,0.9065,0.9153,,https://iopscience.iop.org/article/10.3847/1538-4357/835/2/156,,
,SVM,0.9912,0.8805,0.8716,0.8093,,,,
,ERT,0.9993,0.7157,0.715,0.8185,,,,
,,,,,,,,,
,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad7956,Not usable,
,,,,,,,,,
,,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0275106223000048?via%3Dihub,access?,
,,,,,,,https://iopscience.iop.org/article/10.3847/1538-4365/acc248,?,
